,id,duration,index,match_id,timestamp,start_x,start_y,end_x,end_y
105,3ab292b5-ae4a-4167-b949-a49321eaf9e3,0.111377,337,3939980,00:11:55.955,118.6,33.5,117.6,35.9
106,7aaaa503-db93-4280-9f4a-f99a7c737bee,0.998232,341,3939980,00:12:25.595,120.0,0.1,117.4,34.8
107,e8391c16-8d96-495d-9830-181fac0a19b5,2.313449,344,3939980,00:12:29.440,102.1,32.0,99.9,21.9
108,a2b0562f-98c3-4413-b6e2-001d9451ef11,1.215506,346,3939980,00:12:31.753,100.1,21.7,99.7,5.3
109,aa1efb08-d807-4b32-93af-478c1d2768cd,1.778892,348,3939980,00:12:32.969,99.7,4.1,113.6,3.2
110,bc92562b-7e0a-4082-be6e-0da87c4ed046,0.06789,351,3939980,00:12:35.682,112.6,3.3,112.4,8.1
113,a6b735f4-55e3-4938-99e3-31354089b938,1.076934,358,3939980,00:14:09.524,45.3,0.1,55.4,6.6
114,0a3dd171-d56f-4980-998c-ebe2877a0313,0.60125,361,3939980,00:14:11.750,51.1,2.2,52.7,15.1
115,82263486-21b1-49e2-89c5-a8b1779da409,4.914409,364,3939980,00:14:12.751,52.7,14.9,95.5,3.1
116,d9af24b0-be7d-46fe-9430-5192da73cf30,1.961053,367,3939980,00:14:17.666,24.6,77.0,2.2,54.0
117,c4de65ff-cae2-4f52-b955-827bd8ce4c64,3.136746,371,3939980,00:14:24.008,6.3,55.2,70.1,30.5
118,1416346c-e97d-47f5-be32-98c78551b5da,0.217021,374,3939980,00:14:27.145,50.0,49.6,51.9,49.1
119,9b1ff5ad-31fc-4159-8515-6b697162789d,1.318762,389,3939980,00:15:10.772,120.0,80.0,115.6,43.0
120,f14f1259-e89d-46bf-81f1-b57d868a5bee,1.230024,397,3939980,00:15:17.076,84.3,54.0,63.4,46.6
121,88e58add-f1ac-421a-8e1e-242b5b7b42d3,1.537263,400,3939980,00:15:19.813,54.9,51.8,62.8,77.5
122,b69c36e3-4aa9-4e89-9c42-0b05b9282003,2.25412,403,3939980,00:15:22.106,62.6,77.0,98.8,75.7
123,069a9b6f-2a5b-4aa9-bc2f-c86cc3cdb5e3,0.947634,406,3939980,00:15:27.246,113.5,65.0,117.2,45.2
124,0065ae57-26a1-43b8-9801-a15fa908c1eb,1.396097,410,3939980,00:15:33.376,85.3,74.3,89.9,64.6
125,7b088b3a-8fdc-429f-84c0-9afb7811ce2e,0.850973,413,3939980,00:15:36.105,88.9,69.3,84.8,75.3
